;== dropdowns ==
$ostim_light_mode_none	No light
$ostim_light_mode_rear	Rear light
$ostim_light_mode_face	Face light

$ostim_light_type_dim	Dim
$ostim_light_type_bright	Bright

$ostim_cum_action_none	No Action
$ostim_cum_action_spit	Spit
$ostim_cum_action_swallow	Swallow
$ostim_cum_action_random	Random
$ostim_cum_action_bottle_ask	Bottle, ask otherwise
$ostim_cum_action_bottle_spit	Bottle, spit otherwise
$ostim_cum_action_bottle_swallow	Bottle, swallow otherwise
$ostim_cum_action_bottle_random	Bottle, random otherwise

;== pages ==
$ostim_page_configuration	Configuration
$ostim_page_undress	Undressing
$ostim_page_addons	Add-ons
$ostim_page_about	About

;== configuration ==
$ostim_thanks	Thanks!
$ostim_config_text	<font color='#939292'>OStim Settings

$ostim_header_sex_scenes	Sex scenes
$ostim_header_player_roles	Player Roles
$ostim_header_orgasms	Orgasms
$ostim_header_beds	Beds
$ostim_header_excitement_bars	Excitement bars
$ostim_header_system	System
$ostim_header_undressing	Undressing
$ostim_header_ai_control	Ai Control
$ostim_header_freecam	FreeCam
$ostim_header_keys	Keys
$ostim_header_lights	Lights
$ostim_header_save_load	Save and load settings.
$ostim_header_osa_keys	OSA Keys

$ostim_speed_control	Actors control speed
$ostim_excitement_mult	Excitement multiplier
$ostim_clippingless	Clipping-less first person
$ostim_timescale	Custom timescale
$ostim_use_fades	Fade out on intro/outro
$ostim_end_on_hit	End if attacked
$ostim_use_rumble	Use controller rumble
$ostim_screenshake	Use extra screenshake
$ostim_force_first	Force return to first person after scene
$ostim_scaling	Disable Scaling
$ostim_reset_position	Reset position after scene

$ostim_force_gay_anims	Only use same sex animations for same sex scenes
$ostim_always_dom_straight	Player Always Dom: Straight
$ostim_always_sub_straight	Player Always Sub: Straight
$ostim_always_dom_gay	Player Always Dom: Gay
$ostim_always_sub_gay	Player Always Sub: Gay

$ostim_orgasm_end_dom	End sex after Dom actor orgasm
$ostim_orgasm_end_sub	End sex after Sub actor orgasm
$ostim_orgasm_end_both	Require both actors to orgasm to end
$ostim_slowmo_orgasm	Slow motion on orgasm
$ostim_orgasm_boost_rel	Orgasm boosts relationship rank

$ostim_use_beds	Use Beds
$ostim_bed_search_rad	Bed search radius
$ostim_bed_reallignment	Bed realignment
$ostim_bed_algo	Use alternate bed search method

$ostim_dom_bar	Main actor HUD bar
$ostim_sub_bar	Second actor HUD bar
$ostim_third_bar	Third actor HUD bar
$ostim_auto_hide_bar	Autohide bars
$ostim_match_color_gender	Match color to gender
$ostim_hide_npc_bars	Hide bars in NPC-only scenes

$ostim_reset_state	Reset thread state
$ostim_update	Update all
$ostim_mute_osa	Mute vanilla OSA sounds
$ostim_tutorial	Enable tutorial messages
$ostim_cosave	Fix keys & auto-mode

$ostim_undress_start	Fully undress at start
$ostim_undress_need	Remove clothes mid-scene
$ostim_drop_clothes	Toss clothes onto ground
$ostim_stronger_unequip	Use stronger unequip method
$ostim_animate_redress	Use animated redress

$ostim_full_auto	Enable full-auto control
$ostim_force_auto_attacking	Force full-auto control if player attacking
$ostim_force_auto_attacked	Force full-auto control if player is attacked
$ostim_force_auto_consentual	Force full-auto control in consensual scenes
$ostim_force_auto_masturbation	Force full-auto control for masturbation
$ostim_auto_fades	Fade out in between animation transitions
$ostim_ai_change_chance	AI Animation Change Chance

$ostim_freecam	Switch to freecam mode on start
$ostim_freecam_fov	Freecam FOV
$ostim_default_fov	Default FOV
$ostim_freecam_speed	Camera speed

$ostim_main_key	Start sex with target
$ostim_speed_up_key	Increase speed
$ostim_speed_down_key	Decrease speed
$ostim_pullout_key	Pull out
$ostim_control_toggle_key	Switch control mode
$ostim_tfc_key	Toggle freecam

$ostim_dom_light_mode	Main actor light mode
$ostim_sub_light_mode	Second actor light mode
$ostim_dom_light_brightness	Main actor light brightness
$ostim_sub_light_brightness	Second actor light brightness
$ostim_dark_light	Only use lights in darkness

$ostim_export	Export Settings
$ostim_import	Import Settings
$ostim_import_default	Import Default Settings
$ostim_done	Done

$ostim_import_no_file	No settings files found, default MCM settings used.
$ostim_default_missing_error	OSTIM ERROR: DefaultOstimMCMSettings.json is missing, cannot load from default.

;== undress ==
$ostim_undress_about	What is this?
$ostim_undress_text{}	<font color='#939292'>{} Undressing
$ostim_undress_slots_header	Undressing slots
$ostim_slot_30	S. 30 <font color='#317335'> Head
$ostim_slot_31	S. 31 <font color='#317335'> Head/hair
$ostim_slot_32	S. 32 <font color='#317335'> Body armor/clothes
$ostim_slot_33	S. 33 <font color='#317335'> Gloves/gauntlets
$ostim_slot_34	S. 34 <font color='#317335'> Forearms
$ostim_slot_35	S. 35 <font color='#317335'> Amulet
$ostim_slot_36	S. 36 <font color='#317335'> Ring
$ostim_slot_37	S. 37 <font color='#317335'> Shoes
$ostim_slot_38	S. 38 <font color='#317335'> Calves
$ostim_slot_39	S. 39 <font color='#317335'> Shield
$ostim_slot_40	S. 40 <font color='#317335'> Tail
$ostim_slot_41	S. 41 <font color='#317335'> Long hair
$ostim_slot_42	S. 42 <font color='#317335'> Circlet
$ostim_slot_43	S. 43 <font color='#317335'> Ear rings

$ostim_slot_44	S. 44 <font color='#31755c'> Face/mouth
$ostim_slot_45	S. 45 <font color='#31755c'> Neck/scarf. Sometimes panties
$ostim_slot_46	S. 46 <font color='#31755c'> Extra chest piece
$ostim_slot_47	S. 47 <font color='#31755c'> Back (backpack, wings, etc)
$ostim_slot_48	S. 48 <font color='#31755c'> Misc
$ostim_slot_49	S. 49 <font color='#31755c'> Extra pelvis piece
$ostim_slot_52	S. 52 <font color='#31755c'> Extra pelvis piece 2 | SchlongsofSkyrim
$ostim_slot_53	S. 53 <font color='#31755c'> Extra leg piece
$ostim_slot_54	S. 54 <font color='#31755c'> Extra leg piece 2
$ostim_slot_55	S. 55 <font color='#31755c'> Face alternate or jewelry
$ostim_slot_56	S. 56 <font color='#31755c'> Extra chest piece 2
$ostim_slot_57	S. 57 <font color='#31755c'> Shoulder
$ostim_slot_58	S. 58 <font color='#31755c'> Extra arm piece 2
$ostim_slot_59	S. 59 <font color='#31755c'> Extra arm piece
$ostim_slot_60	S. 60 <font color='#31755c'> Misc
$ostim_slots_empty	No armor matching this slot on player.
$ostim_slot_contains{}{}	Player has armor equipped that matches this slot\nName: {}\nFull slotmask: {}

;== add-ons ==
$ostim_addon_settings_text	<font color='#939292'>Add-on Settings
$ostim_addon_or_npc_sexualities	Enable NPC sexualities
$ostim_addon_or_difficulty	Difficulty modifier
